iter	RMSE
0	23.6886492
1	23.58951756
2	23.49821217
3	23.41638729
4	23.34539747
5	23.27486325
6	23.20968128
7	23.14920504
8	23.07595995
9	23.01337865
10	22.96021281
11	22.89705939
12	22.84689014
13	22.79812051
14	22.74447703
15	22.69871515
16	22.64717466
17	22.61623803
18	22.56624111
19	22.51336978
20	22.44392798
21	22.39555516
22	22.35652319
23	22.26078345
24	22.22718255
25	22.18754558
26	22.14152131
27	22.09547015
28	22.05902609
29	22.01234274
30	21.94997433
31	21.9284908
32	21.86768279
33	21.8394557
34	21.81122417
35	21.78529819
36	21.74816687
37	21.71233013
38	21.69134084
39	21.66639939
40	21.63842408
41	21.59104913
42	21.56772281
43	21.54542129
44	21.48301796
45	21.45300042
46	21.39682815
47	21.37348672
48	21.32880741
49	21.29468448
50	21.26386636
51	21.24061317
52	21.22619294
53	21.20856852
54	21.18706445
55	21.1658044
56	21.14718569
57	21.09910374
58	21.07100515
59	21.05013194
60	21.02437056
61	20.99155777
62	20.97563508
63	20.96088446
64	20.94102946
65	20.9174176
66	20.90232405
67	20.88259437
68	20.86970323
69	20.84335526
70	20.83087612
71	20.81041483
72	20.79665194
73	20.75458376
74	20.73754646
75	20.7155764
76	20.70558951
77	20.69475059
78	20.68082821
79	20.66801784
80	20.63679421
81	20.61232971
82	20.58917402
83	20.57943776
84	20.56997442
85	20.55982514
86	20.54750941
87	20.52854918
88	20.49273864
89	20.48447324
90	20.47071248
91	20.45530147
92	20.44497852
93	20.43476892
94	20.42567631
95	20.40747639
96	20.40055799
97	20.38433861
98	20.36273281
99	20.34317162
100	20.32825422
101	20.32387824
102	20.31411234
103	20.29655208
104	20.28040048
105	20.26253247
106	20.2537002
107	20.24456299
108	20.23166159
109	20.21333702
110	20.20266151
111	20.19393441
112	20.17500243
113	20.1675684
114	20.15587152
115	20.14099868
116	20.12285751
117	20.1135046
118	20.10086115
119	20.09350178
120	20.08199587
121	20.06836151
122	20.05910514
123	20.04399096
124	20.03510285
125	20.03055041
126	20.01303111
127	20.00213062
128	19.99272379
129	19.98161558
130	19.96271661
131	19.95077568
132	19.94405307
133	19.93814313
134	19.9192003
135	19.9095591
136	19.8924172
137	19.88104225
138	19.85875221
139	19.85184791
140	19.83681073
141	19.82870199
142	19.81096439
143	19.78805117
144	19.77437957
145	19.76167999
146	19.74793745
147	19.73633718
148	19.72971508
149	19.71975808
150	19.7088617
151	19.69793699
152	19.6787466
153	19.66637182
154	19.65107893
155	19.63861703
156	19.62768651
157	19.613853
158	19.60587095
159	19.59773155
160	19.58686051
161	19.57478924
162	19.5567895
163	19.53974866
164	19.52212995
165	19.50690689
166	19.49843887
167	19.48791678
168	19.47745569
169	19.45539357
170	19.44412375
171	19.43672709
172	19.42918212
173	19.41671446
174	19.4065063
175	19.39201645
176	19.38185032
177	19.37163358
178	19.36101152
179	19.35270855
180	19.33489415
181	19.3135772
182	19.30283026
183	19.29565829
184	19.28010706
185	19.26500481
186	19.25026873
187	19.23744961
188	19.23072561
189	19.21173762
190	19.19709701
191	19.19055272
192	19.18349842
193	19.1696101
194	19.15100581
195	19.14636995
196	19.13599029
197	19.12781869
198	19.12094322
199	19.11211257
200	19.10087831
201	19.09232216
202	19.07303385
203	19.0670966
204	19.05848033
205	19.05219223
206	19.04309056
207	19.02406282
208	19.00997909
209	18.99571411
210	18.97900396
211	18.96606022
212	18.95620516
213	18.94463196
214	18.9380116
215	18.93133891
216	18.91681523
217	18.91273026
218	18.90394501
219	18.89242268
220	18.88495635
