iter	Passed	Remaining
0	8	8945
1	18	9090
2	30	10138
3	40	10076
4	54	10783
5	63	10589
6	72	10336
7	81	10128
8	90	10014
9	100	9970
10	110	9914
11	119	9859
12	131	10001
13	140	9922
14	149	9846
15	159	9809
16	168	9752
17	177	9668
18	186	9619
19	197	9668
20	206	9622
21	216	9604
22	224	9546
23	234	9517
24	243	9495
25	252	9467
26	262	9441
27	271	9439
28	284	9525
29	299	9686
30	312	9778
31	326	9868
32	339	9938
33	354	10080
34	367	10123
35	379	10174
36	391	10196
37	403	10205
38	418	10314
39	427	10268
40	436	10201
41	445	10166
42	454	10108
43	462	10051
44	471	10012
45	480	9956
46	488	9907
47	498	9879
48	506	9821
49	514	9782
50	523	9735
51	532	9699
52	541	9672
53	549	9633
54	559	9613
55	568	9582
56	577	9558
57	587	9546
58	597	9529
59	606	9503
60	616	9483
61	626	9474
62	638	9489
63	649	9498
64	658	9479
65	668	9458
66	678	9452
67	687	9421
68	696	9399
69	705	9378
70	715	9358
71	723	9328
72	733	9309
73	742	9287
74	750	9262
75	759	9231
76	767	9203
77	776	9175
78	784	9146
79	793	9121
80	802	9099
81	810	9076
82	820	9059
83	828	9037
84	840	9043
85	848	9017
86	857	9002
87	867	8988
88	879	9001
89	890	9008
90	903	9023
91	915	9040
92	927	9043
93	999	9631
94	1038	9896
95	1064	10023
96	1078	10040
97	1113	10244
98	1128	10269
99	1137	10238
100	1146	10205
101	1155	10168
102	1163	10135
103	1172	10100
104	1180	10063
105	1189	10028
106	1197	9997
107	1206	9966
108	1215	9937
109	1224	9906
110	1233	9875
111	1241	9842
112	1250	9812
113	1258	9778
114	1266	9749
115	1274	9715
116	1283	9688
117	1291	9657
118	1300	9625
119	1308	9596
120	1317	9573
121	1325	9542
122	1335	9518
123	1343	9494
124	1353	9471
125	1362	9449
126	1371	9428
127	1380	9405
128	1388	9378
129	1397	9349
130	1406	9327
131	1415	9304
132	1423	9280
133	1432	9258
134	1440	9230
135	1448	9204
136	1457	9180
137	1465	9153
138	1473	9129
139	1482	9109
140	1491	9083
141	1500	9068
142	1509	9048
143	1518	9025
144	1526	9002
145	1535	8978
146	1543	8956
147	1552	8935
148	1560	8914
149	1569	8894
150	1578	8875
151	1587	8855
152	1595	8831
153	1604	8813
154	1613	8795
155	1622	8778
156	1631	8758
157	1639	8735
158	1648	8717
159	1656	8695
160	1664	8672
161	1672	8649
162	1680	8630
163	1689	8612
164	1701	8609
165	1711	8596
166	1719	8578
167	1730	8569
168	1738	8549
169	1747	8531
170	1755	8511
171	1764	8493
172	1772	8473
173	1780	8453
174	1788	8429
175	1796	8408
176	1804	8391
177	1812	8369
178	1820	8349
179	1829	8334
180	1837	8315
181	1851	8322
182	1878	8387
183	1891	8389
184	1906	8398
185	1916	8388
186	1926	8376
187	1939	8377
188	1952	8378
189	1964	8374
190	1973	8360
191	1984	8353
192	2000	8362
193	2014	8367
194	2024	8356
195	2033	8343
196	2043	8327
197	2053	8318
198	2062	8301
199	2072	8288
200	2081	8274
201	2090	8256
202	2099	8241
203	2108	8228
204	2119	8220
205	2132	8219
206	2143	8212
207	2153	8201
208	2164	8192
209	2174	8180
210	2183	8165
211	2193	8151
212	2201	8133
213	2208	8111
214	2216	8094
215	2226	8081
216	2235	8064
217	2243	8047
218	2250	8027
219	2259	8010
220	2268	7994
221	2276	7979
222	2285	7963
223	2293	7945
224	2302	7930
225	2311	7916
226	2319	7899
227	2328	7885
228	2336	7867
229	2345	7853
230	2354	7837
231	2362	7821
232	2370	7804
233	2381	7794
234	2469	8038
235	2492	8069
236	2503	8058
237	2511	8042
238	2520	8026
239	2530	8014
