iter	Passed	Remaining
0	8	8775
1	18	9068
2	27	9163
3	36	9163
4	45	9043
5	55	9143
6	64	9136
7	73	9133
8	83	9191
9	92	9202
10	102	9227
11	111	9195
12	120	9182
13	130	9183
14	139	9153
15	149	9177
16	158	9137
17	166	9108
18	176	9100
19	185	9111
20	195	9095
21	204	9102
22	214	9101
23	223	9072
24	231	9035
25	240	9004
26	249	8974
27	257	8935
28	266	8932
29	275	8917
30	285	8913
31	293	8890
32	303	8883
33	312	8877
34	321	8856
35	330	8856
36	338	8820
37	347	8793
38	355	8764
39	364	8756
40	372	8719
41	382	8716
42	390	8683
43	398	8665
44	407	8644
45	415	8623
46	424	8601
47	433	8589
48	441	8562
49	449	8546
50	458	8527
51	467	8524
52	477	8523
53	485	8508
54	494	8493
55	502	8472
56	511	8465
57	520	8447
58	530	8454
59	538	8443
60	548	8442
61	558	8445
62	567	8444
63	576	8436
64	586	8429
65	595	8421
66	603	8403
67	612	8396
68	622	8401
69	631	8393
70	641	8390
71	649	8376
72	659	8375
73	668	8370
74	678	8366
75	687	8355
76	696	8350
77	705	8338
78	714	8326
79	723	8319
80	732	8315
81	741	8302
82	750	8296
83	759	8279
84	767	8258
85	775	8237
86	783	8221
87	791	8204
88	800	8190
89	808	8178
90	817	8162
91	825	8150
92	834	8138
93	842	8124
94	851	8110
95	860	8102
96	869	8096
97	879	8093
98	889	8091
99	898	8087
100	908	8082
101	916	8067
102	925	8058
103	934	8050
104	943	8041
105	952	8035
106	962	8029
107	971	8025
108	980	8018
109	989	8005
110	997	7989
111	1005	7973
112	1014	7963
113	1023	7951
114	1031	7938
115	1039	7920
116	1047	7906
117	1056	7896
118	1064	7878
119	1073	7868
120	1081	7859
121	1090	7846
122	1098	7835
123	1107	7827
124	1117	7821
125	1126	7813
126	1135	7805
127	1144	7797
128	1152	7783
129	1160	7767
130	1169	7760
131	1178	7748
132	1187	7739
133	1195	7727
134	1204	7715
135	1212	7701
136	1220	7690
137	1228	7674
138	1237	7665
139	1246	7657
140	1254	7644
141	1264	7639
142	1273	7630
143	1282	7623
144	1291	7615
145	1300	7604
146	1309	7596
147	1317	7585
148	1327	7579
149	1335	7570
150	1344	7561
151	1353	7553
152	1361	7539
153	1370	7531
154	1379	7522
155	1388	7513
156	1397	7502
157	1405	7487
158	1414	7479
159	1422	7466
160	1430	7453
161	1438	7440
162	1447	7430
163	1455	7419
164	1464	7409
165	1472	7396
166	1479	7380
167	1488	7370
168	1496	7358
169	1505	7349
170	1513	7335
171	1521	7326
172	1529	7313
173	1537	7298
174	1544	7281
175	1552	7270
176	1561	7259
177	1568	7243
178	1576	7233
179	1586	7225
180	1594	7214
181	1601	7199
182	1609	7187
183	1618	7176
184	1626	7167
185	1635	7155
186	1642	7142
187	1651	7133
188	1659	7121
189	1667	7109
190	1675	7094
191	1683	7085
192	1692	7077
193	1701	7067
194	1710	7059
195	1718	7050
196	1727	7040
197	1736	7034
198	1745	7025
199	1754	7017
200	1763	7009
201	1771	6999
202	1781	6992
203	1789	6983
204	1799	6977
205	1807	6968
206	1817	6963
207	1826	6954
208	1835	6947
209	1844	6937
210	1852	6928
211	1862	6922
212	1869	6909
213	1877	6895
214	1885	6884
215	1893	6871
216	1901	6860
217	1909	6849
218	1916	6835
219	1924	6823
220	1932	6813
221	1941	6802
222	1949	6793
223	1957	6781
224	1966	6774
225	1975	6766
226	1984	6758
227	1993	6749
228	2001	6738
229	2010	6730
230	2018	6720
231	2026	6709
232	2035	6699
233	2043	6688
234	2051	6677
235	2059	6667
236	2068	6658
237	2076	6647
238	2084	6636
239	2093	6628
240	2101	6619
241	2110	6610
242	2118	6600
243	2127	6591
244	2136	6583
245	2144	6571
246	2153	6564
247	2162	6557
248	2171	6550
249	2180	6541
250	2189	6533
251	2198	6525
252	2207	6517
253	2216	6509
254	2225	6502
255	2234	6494
256	2241	6481
257	2250	6471
258	2259	6463
259	2267	6454
260	2276	6446
261	2284	6435
262	2293	6427
263	2302	6417
264	2310	6408
265	2317	6396
266	2326	6386
267	2333	6374
268	2341	6363
269	2349	6353
270	2357	6341
271	2364	6328
272	2371	6316
273	2380	6307
274	2387	6295
275	2396	6286
276	2403	6274
277	2412	6265
278	2420	6255
279	2429	6246
280	2437	6237
281	2444	6225
282	2453	6216
283	2461	6205
284	2469	6196
285	2478	6186
286	2485	6175
287	2494	6166
288	2502	6156
289	2510	6145
290	2518	6135
291	2527	6128
292	2535	6116
293	2543	6107
294	2550	6095
295	2558	6085
296	2567	6077
297	2576	6068
298	2584	6059
299	2592	6049
300	2600	6038
301	2608	6028
302	2615	6017
303	2625	6009
304	2633	6000
305	2642	5993
306	2651	5985
307	2660	5978
308	2670	5971
309	2678	5961
310	2686	5952
311	2695	5944
312	2703	5934
313	2712	5925
314	2720	5915
315	2728	5905
316	2736	5895
317	2743	5884
318	2752	5876
319	2760	5866
320	2769	5857
321	2777	5847
322	2785	5838
323	2793	5828
324	2801	5818
325	2809	5809
326	2818	5800
327	2826	5790
328	2835	5782
329	2843	5773
330	2851	5762
331	2859	5752
332	2867	5743
333	2875	5734
334	2883	5724
335	2892	5716
336	2901	5708
337	2910	5700
338	2919	5691
339	2927	5682
340	2935	5673
341	2944	5664
342	2952	5654
343	2960	5645
344	2968	5635
345	2976	5626
346	2985	5618
347	2993	5609
348	3001	5598
349	3009	5588
350	3017	5579
351	3025	5569
352	3033	5560
353	3041	5550
354	3050	5542
355	3057	5531
356	3064	5520
357	3072	5510
358	3080	5500
359	3088	5490
360	3096	5480
361	3105	5472
362	3113	5462
363	3121	5453
364	3129	5445
365	3137	5435
366	3146	5427
367	3154	5417
368	3163	5409
369	3171	5400
370	3180	5391
371	3188	5382
372	3196	5373
373	3204	5364
374	3213	5355
375	3221	5346
376	3229	5337
377	3238	5329
378	3246	5320
379	3255	5311
380	3263	5302
381	3271	5293
382	3279	5283
383	3287	5273
384	3295	5263
385	3303	5254
386	3311	5245
387	3319	5236
388	3328	5227
389	3336	5218
390	3344	5209
391	3353	5200
392	3361	5191
393	3368	5180
394	3377	5173
395	3386	5165
396	3395	5157
397	3403	5147
398	3411	5138
399	3420	5130
400	3429	5122
401	3437	5113
402	3446	5104
403	3454	5096
404	3462	5086
405	3470	5076
406	3478	5068
407	3488	5062
408	3497	5053
409	3506	5046
410	3515	5038
411	3524	5030
412	3532	5021
413	3541	5012
414	3549	5003
415	3558	4994
416	3566	4986
417	3574	4977
418	3582	4968
419	3591	4959
420	3599	4949
421	3607	4941
422	3616	4932
423	3626	4926
424	3635	4918
425	3643	4909
426	3652	4900
427	3660	4892
428	3669	4883
429	3677	4874
430	3684	4864
431	3692	4855
432	3700	4845
433	3709	4837
434	3717	4828
435	3726	4819
436	3734	4811
437	3742	4802
438	3751	4794
439	3760	4785
440	3767	4775
441	3775	4766
442	3783	4756
443	3791	4747
444	3799	4739
445	3808	4730
446	3816	4721
447	3824	4712
448	3833	4703
449	3841	4695
450	3849	4685
451	3857	4676
452	3865	4667
453	3874	4659
454	3883	4651
455	3891	4642
456	3900	4634
457	3908	4625
458	3917	4617
459	3925	4607
460	3933	4599
461	3941	4590
462	3949	4580
463	3957	4572
464	3966	4564
465	3975	4555
466	3983	4546
467	3993	4539
468	4002	4531
469	4010	4523
470	4019	4514
471	4029	4507
472	4038	4499
473	4047	4491
474	4056	4483
475	4064	4474
476	4074	4467
477	4082	4458
478	4090	4449
479	4098	4440
480	4107	4431
481	4115	4422
482	4123	4414
483	4131	4404
484	4139	4395
485	4147	4386
486	4155	4377
487	4163	4368
488	4172	4359
489	4180	4350
490	4188	4342
491	4197	4333
492	4205	4324
493	4213	4315
494	4221	4306
495	4230	4299
496	4240	4291
497	4254	4288
498	4263	4280
499	4271	4271
500	4279	4262
501	4288	4254
502	4296	4245
503	4305	4237
504	4314	4229
505	4323	4220
506	4331	4212
507	4340	4203
508	4349	4195
509	4358	4187
510	4368	4180
511	4378	4172
512	4387	4164
513	4396	4156
514	4405	4148
515	4413	4140
516	4422	4131
517	4431	4123
518	4439	4114
519	4447	4105
520	4456	4097
521	4464	4087
522	4472	4079
523	4481	4070
524	4489	4061
525	4498	4053
526	4506	4045
527	4514	4035
528	4523	4027
529	4532	4019
530	4541	4011
531	4549	4002
532	4557	3993
533	4565	3984
534	4574	3975
535	4581	3966
536	4590	3957
537	4597	3948
538	4606	3939
539	4615	3931
540	4623	3922
541	4631	3913
542	4640	3905
543	4648	3896
544	4657	3887
545	4669	3882
546	4680	3876
547	4691	3869
548	4702	3863
549	4713	3856
550	4723	3848
551	4732	3840
552	4741	3832
553	4753	3826
554	4764	3819
555	4772	3811
556	4781	3803
557	4790	3794
558	4800	3786
559	4808	3778
560	4817	3769
561	4827	3762
562	4838	3755
563	4846	3746
564	4859	3741
565	4868	3733
566	4875	3723
567	4883	3713
568	4890	3704
569	4899	3696
570	4908	3687
571	4917	3679
572	4926	3671
573	4936	3663
574	4945	3655
575	4955	3647
576	4963	3638
577	4972	3630
578	4980	3621
579	4988	3612
580	4996	3603
581	5005	3594
582	5013	3585
583	5021	3576
584	5029	3568
585	5038	3559
586	5046	3550
587	5055	3542
588	5064	3533
589	5071	3524
590	5080	3515
591	5090	3508
592	5099	3500
593	5108	3491
594	5117	3483
595	5126	3474
596	5135	3466
597	5143	3457
598	5152	3449
599	5161	3440
600	5170	3432
601	5179	3424
602	5187	3415
603	5197	3407
604	5207	3399
605	5217	3391
606	5226	3383
607	5236	3376
608	5247	3368
609	5258	3361
610	5268	3354
611	5278	3346
612	5288	3338
613	5296	3329
614	5304	3320
615	5312	3311
616	5321	3303
617	5330	3294
618	5338	3286
619	5346	3277
620	5355	3268
621	5364	3260
622	5372	3251
623	5380	3242
624	5388	3233
625	5395	3223
626	5404	3214
627	5412	3206
628	5420	3197
629	5428	3188
630	5437	3179
631	5445	3171
632	5454	3162
633	5462	3153
634	5470	3144
635	5479	3135
636	5487	3127
637	5495	3118
638	5503	3108
639	5511	3100
640	5519	3091
641	5527	3082
642	5535	3073
643	5544	3065
644	5552	3056
645	5561	3047
646	5569	3038
647	5578	3030
648	5586	3021
649	5595	3012
650	5603	3004
651	5612	2995
652	5620	2986
653	5627	2977
654	5636	2968
655	5644	2960
656	5653	2951
657	5660	2941
658	5668	2933
659	5676	2924
660	5683	2915
661	5692	2906
662	5700	2897
663	5709	2889
664	5716	2879
665	5725	2871
666	5733	2862
667	5741	2853
668	5750	2845
669	5758	2836
670	5766	2827
671	5775	2818
672	5783	2810
673	5792	2801
674	5800	2793
675	5809	2784
676	5816	2775
677	5825	2766
678	5833	2757
679	5842	2749
680	5850	2740
681	5858	2731
682	5866	2722
683	5875	2714
684	5884	2706
685	5892	2697
686	5900	2688
687	5908	2679
688	5917	2670
689	5925	2662
690	5932	2653
691	5942	2644
692	5950	2635
693	5958	2627
694	5966	2618
695	5974	2609
696	5982	2600
697	5990	2591
698	5998	2582
699	6006	2574
