iter	Logloss
0	0.6885775594
1	0.6835018913
2	0.6797431908
3	0.6757405514
4	0.6714206213
5	0.6674953759
6	0.6629964658
7	0.6596756909
8	0.6565517628
9	0.6529707213
10	0.6500684553
11	0.6472710582
12	0.6444113192
13	0.6417780583
14	0.6397933486
15	0.6374259738
16	0.6345118633
17	0.632443057
18	0.6306952633
19	0.6287699776
20	0.6261278926
21	0.6242986329
22	0.6225802861
23	0.6205607083
24	0.6188854975
25	0.6173834267
26	0.6157123472
27	0.614151746
28	0.612306087
29	0.610661539
30	0.6091627915
31	0.6078696908
32	0.6065555439
33	0.6054921836
34	0.6043089292
35	0.6028153785
36	0.6011914533
37	0.5998966809
38	0.5988801441
39	0.5978644579
40	0.5969619343
41	0.596207911
42	0.5954993813
43	0.594135658
44	0.5928429441
45	0.5914827889
46	0.5900942976
47	0.5887993862
48	0.588065053
49	0.5864720969
50	0.5853244158
51	0.5841165466
52	0.5823396093
53	0.5809541062
54	0.5801855276
55	0.579252202
56	0.5784712153
57	0.5772314465
58	0.5761050532
59	0.5754884138
60	0.5748499859
61	0.5742257294
62	0.573212777
63	0.5725355196
64	0.5716591665
65	0.5712160623
66	0.5707368799
67	0.5700684668
68	0.5690955388
69	0.5684288448
70	0.5676967963
71	0.5670186433
72	0.5663182817
73	0.5657499621
74	0.5644512867
75	0.5638977031
76	0.5627041297
77	0.5620524288
78	0.5607790487
79	0.5602026677
80	0.5593291134
81	0.558661597
82	0.5581538267
83	0.5573714469
84	0.5567759281
85	0.5560054296
86	0.5553146419
87	0.5547556702
88	0.5539841524
89	0.5535761596
90	0.5530121097
91	0.5523393613
92	0.5512068261
93	0.5507739048
94	0.5497808014
95	0.5492831074
96	0.548831315
97	0.5484706953
98	0.5480757218
99	0.547591486
100	0.5470684706
101	0.5466849803
102	0.5464244963
103	0.5458305457
104	0.5453788732
105	0.5448451453
106	0.5442656917
107	0.5438170188
108	0.5429253791
109	0.5423769168
110	0.5416092913
111	0.5410595702
112	0.5404981716
113	0.5396859767
114	0.5393460157
115	0.5389707976
116	0.538248476
117	0.5377310236
118	0.5373799457
119	0.5367483304
120	0.536171704
121	0.535825649
122	0.5353566641
123	0.5350559189
124	0.5347519434
125	0.5344053039
126	0.5338184997
127	0.5330268677
128	0.5326935117
129	0.5322284062
130	0.5319132423
131	0.5315943166
132	0.5311623337
133	0.5309006377
134	0.5302853509
135	0.5299806833
136	0.5297775077
137	0.5288472847
138	0.5281961231
139	0.5278203529
140	0.5275587143
141	0.5272734936
142	0.526908827
143	0.526196101
144	0.5257577237
145	0.5255096657
146	0.524952715
147	0.5246922499
148	0.5242476873
149	0.5239722427
150	0.5236576437
151	0.5234737817
152	0.5231521826
153	0.5226177166
154	0.5223133923
155	0.5218790645
156	0.5215091381
157	0.521234399
158	0.5210030562
159	0.5206547576
160	0.520173547
161	0.5198331656
162	0.5191389336
163	0.5187914267
164	0.518458501
165	0.518050096
166	0.5178265357
167	0.5175312207
168	0.517024602
169	0.5165269644
170	0.5159723555
171	0.5157327318
172	0.5155869467
173	0.5152182114
174	0.5148640965
175	0.5144660504
176	0.5141392522
177	0.5138024581
178	0.5135882799
179	0.5131448871
180	0.5128550424
181	0.512412657
182	0.5121195914
183	0.5117741581
184	0.5114844187
185	0.5111773358
186	0.5107739338
187	0.5104562504
188	0.5102186671
189	0.5099348599
190	0.5096390036
191	0.5093648265
192	0.5089763558
193	0.5087548395
194	0.508413656
195	0.5081587152
196	0.5077503048
197	0.5075145466
198	0.5073459868
199	0.5071649833
200	0.5068311366
201	0.5064341176
202	0.5059218102
203	0.5056424697
204	0.5053560361
205	0.5050586898
206	0.5048880808
207	0.5046042697
208	0.5043122402
209	0.5041588593
210	0.5038771678
211	0.5035514428
212	0.5032401619
213	0.5030322992
214	0.5028680935
215	0.5025990439
216	0.5023245005
217	0.502123796
218	0.501855159
219	0.5014955143
220	0.5011774816
221	0.500502114
222	0.5002562025
223	0.4999943165
224	0.4996044191
225	0.4992983615
226	0.4990883023
227	0.4988573943
228	0.498526246
229	0.4982236714
230	0.4979669243
231	0.4976640652
232	0.4973157062
233	0.49706233
234	0.4966860597
235	0.4963764331
236	0.4962073636
237	0.4959944343
238	0.4958010849
239	0.4955785363
240	0.4954135279
241	0.4952046981
242	0.4948995719
243	0.4947167504
244	0.4944374237
245	0.4940643811
246	0.4938562295
247	0.4935668173
248	0.4933366344
249	0.4932001403
