iter	Passed	Remaining
0	4	4923
1	10	5282
2	16	5400
3	21	5302
4	26	5335
5	32	5350
6	37	5329
7	43	5351
8	48	5323
9	53	5291
10	58	5285
11	63	5247
12	68	5233
13	74	5251
14	79	5236
15	84	5179
16	88	5139
17	93	5125
18	99	5125
19	104	5116
20	110	5143
21	114	5103
22	119	5072
23	125	5102
24	130	5093
25	135	5092
26	141	5090
27	146	5082
28	151	5081
29	157	5076
30	162	5067
31	167	5067
32	172	5068
33	178	5058
34	183	5058
35	188	5045
36	192	5019
37	197	5007
38	202	4995
39	208	4992
40	213	4991
41	219	5002
42	224	4996
43	229	4986
44	234	4980
45	239	4972
46	245	4972
47	249	4952
48	254	4945
49	259	4937
50	265	4932
51	270	4925
52	276	4931
53	280	4917
54	286	4914
55	291	4907
56	295	4887
57	300	4880
58	305	4875
59	310	4869
60	316	4874
61	322	4877
62	328	4879
63	332	4867
64	338	4864
65	344	4869
66	349	4865
67	354	4857
68	359	4847
69	363	4834
70	369	4832
71	373	4819
72	378	4800
73	382	4792
74	387	4775
75	392	4767
76	396	4756
77	401	4742
78	406	4742
79	411	4731
80	416	4726
81	421	4716
82	426	4711
83	430	4697
84	435	4691
85	441	4690
86	445	4679
87	450	4672
88	456	4669
89	461	4666
90	466	4661
91	472	4658
92	477	4654
93	482	4650
94	486	4637
95	491	4627
96	496	4620
97	500	4609
98	505	4600
99	510	4591
100	515	4584
101	519	4570
102	524	4566
103	529	4560
104	534	4552
105	539	4545
106	544	4541
107	548	4532
108	554	4528
109	559	4523
110	563	4512
111	567	4502
112	573	4500
113	578	4495
114	583	4488
115	588	4484
116	592	4475
117	598	4473
118	603	4468
119	608	4463
120	614	4461
121	619	4459
122	624	4454
123	630	4452
124	635	4448
125	640	4443
126	646	4441
127	651	4437
128	656	4432
129	662	4431
130	667	4426
131	672	4424
132	676	4412
133	681	4406
134	686	4398
135	691	4394
136	696	4384
137	700	4376
138	705	4373
139	711	4368
140	715	4359
141	720	4352
142	724	4342
143	730	4340
144	734	4330
145	739	4324
146	744	4320
147	749	4317
148	755	4313
149	760	4309
150	765	4302
151	770	4300
152	774	4289
153	779	4282
154	784	4278
155	789	4273
156	795	4270
157	800	4265
158	805	4261
159	810	4256
160	815	4251
161	820	4245
162	826	4241
163	831	4236
164	836	4232
165	841	4226
166	845	4217
167	850	4209
168	854	4201
169	859	4196
170	864	4191
171	869	4187
172	875	4183
173	879	4176
174	884	4168
175	889	4163
176	894	4157
177	898	4147
178	902	4138
179	907	4134
180	912	4126
181	917	4121
182	921	4113
183	926	4108
184	931	4104
185	936	4097
186	940	4089
187	945	4084
188	950	4078
189	955	4075
190	961	4071
191	966	4065
192	971	4062
193	975	4054
194	980	4048
195	985	4042
196	990	4035
197	995	4032
198	999	4024
199	1004	4019
200	1010	4015
201	1015	4011
202	1019	4003
203	1023	3995
204	1029	3990
205	1033	3983
206	1038	3979
207	1043	3973
208	1048	3967
209	1053	3962
210	1058	3956
211	1062	3950
212	1067	3945
213	1072	3940
214	1077	3935
215	1083	3931
216	1087	3925
217	1093	3921
218	1099	3920
219	1104	3917
220	1109	3912
221	1114	3906
222	1119	3902
223	1124	3894
224	1129	3889
225	1134	3883
226	1138	3875
227	1143	3871
228	1148	3866
229	1154	3863
230	1159	3859
231	1163	3852
232	1169	3850
233	1174	3845
234	1179	3840
235	1183	3832
236	1188	3825
237	1192	3819
238	1197	3811
239	1201	3804
240	1205	3797
241	1210	3791
242	1215	3785
243	1220	3782
244	1226	3778
245	1230	3772
246	1235	3768
247	1241	3763
248	1245	3756
249	1250	3752
250	1255	3747
251	1260	3742
252	1265	3737
253	1270	3731
254	1276	3728
255	1280	3721
256	1284	3714
257	1290	3710
258	1294	3703
259	1298	3695
260	1303	3691
261	1308	3686
262	1313	3681
263	1319	3678
264	1323	3672
265	1328	3665
266	1333	3661
267	1337	3654
268	1342	3649
269	1348	3645
270	1354	3642
271	1358	3636
272	1363	3629
273	1368	3625
274	1374	3623
275	1378	3616
276	1383	3610
277	1387	3602
278	1391	3596
279	1397	3593
280	1407	3600
281	1412	3596
282	1419	3595
283	1425	3594
284	1431	3591
285	1437	3587
286	1453	3610
287	1460	3609
288	1471	3621
289	1480	3625
290	1487	3624
291	1495	3625
292	1501	3623
293	1507	3619
294	1513	3616
295	1519	3613
296	1527	3614
297	1535	3616
298	1541	3612
299	1558	3635
300	1564	3633
301	1572	3635
302	1583	3642
303	1591	3644
304	1596	3638
305	1610	3653
306	1616	3649
307	1624	3649
308	1631	3648
309	1639	3649
310	1648	3652
311	1677	3699
312	1684	3697
313	1691	3695
314	1696	3689
315	1702	3685
316	1716	3698
317	1723	3695
318	1731	3695
319	1747	3713
320	1754	3712
321	1761	3709
322	1769	3708
323	1776	3706
324	1787	3711
325	1794	3709
326	1802	3710
327	1813	3715
328	1823	3718
329	1831	3718
330	1839	3718
331	1845	3713
332	1852	3710
333	1859	3708
334	1873	3719
335	1881	3717
336	1889	3717
337	1902	3726
338	1910	3724
339	1918	3723
340	1927	3724
341	1937	3726
342	1944	3724
343	1950	3720
344	1957	3715
345	1963	3710
346	1969	3706
347	1976	3702
348	1981	3696
349	1988	3693
350	1995	3689
351	2002	3686
352	2009	3682
353	2015	3677
354	2020	3671
355	2026	3665
356	2032	3661
357	2038	3655
358	2043	3649
359	2048	3642
360	2055	3638
361	2061	3632
362	2069	3630
363	2077	3629
364	2084	3625
365	2090	3621
366	2096	3615
367	2102	3610
368	2108	3604
369	2114	3600
370	2120	3594
371	2126	3589
372	2131	3583
373	2138	3579
374	2143	3572
375	2149	3567
376	2154	3560
377	2160	3554
378	2165	3547
379	2170	3540
380	2174	3533
381	2179	3526
382	2185	3520
383	2190	3513
384	2197	3509
385	2202	3504
386	2208	3497
387	2213	3490
388	2218	3484
389	2223	3477
390	2229	3472
391	2234	3465
392	2238	3458
393	2244	3451
394	2248	3444
395	2253	3436
396	2258	3430
397	2263	3423
398	2267	3415
399	2272	3409
400	2277	3402
401	2282	3395
402	2287	3388
403	2292	3381
404	2296	3373
405	2301	3366
406	2306	3360
407	2311	3353
408	2315	3345
409	2320	3339
410	2325	3332
411	2330	3325
412	2335	3318
413	2339	3311
414	2345	3306
415	2350	3299
416	2355	3292
417	2360	3286
418	2365	3279
419	2370	3274
420	2375	3267
421	2380	3260
422	2385	3254
423	2390	3247
424	2397	3243
425	2403	3238
426	2408	3232
427	2415	3228
428	2420	3221
429	2425	3214
430	2429	3207
431	2433	3200
432	2439	3193
433	2444	3187
434	2450	3182
435	2455	3176
436	2462	3172
437	2468	3167
438	2475	3163
439	2480	3156
440	2485	3150
441	2490	3143
442	2495	3138
443	2500	3131
444	2505	3125
445	2510	3119
446	2516	3112
447	2521	3106
448	2526	3100
449	2531	3094
450	2537	3088
451	2542	3082
452	2547	3076
453	2553	3070
454	2558	3064
455	2563	3058
456	2569	3052
457	2574	3046
458	2579	3040
459	2584	3033
460	2590	3028
461	2595	3021
462	2600	3016
463	2605	3010
464	2610	3003
465	2615	2997
466	2620	2990
467	2625	2984
468	2630	2977
469	2635	2971
470	2640	2965
471	2645	2959
472	2650	2953
473	2655	2947
474	2660	2940
475	2664	2933
476	2669	2926
477	2674	2920
478	2679	2914
479	2684	2907
480	2689	2901
481	2694	2895
482	2699	2889
483	2705	2883
484	2709	2877
485	2714	2870
486	2719	2864
487	2724	2858
488	2729	2852
489	2735	2846
490	2739	2840
491	2744	2833
492	2749	2827
493	2754	2821
494	2759	2815
495	2764	2808
496	2769	2802
497	2774	2797
498	2779	2790
499	2784	2784
500	2789	2778
501	2793	2771
502	2798	2765
503	2803	2759
504	2808	2753
505	2813	2746
506	2818	2740
507	2823	2734
508	2828	2728
509	2832	2721
510	2838	2716
511	2843	2710
512	2848	2704
513	2853	2698
514	2858	2691
515	2862	2685
516	2868	2679
517	2873	2673
518	2878	2667
519	2883	2661
520	2888	2655
521	2894	2650
522	2898	2643
523	2903	2637
524	2908	2631
525	2913	2625
526	2918	2619
527	2923	2613
528	2928	2607
529	2934	2602
530	2938	2595
531	2943	2589
532	2948	2583
533	2953	2577
534	2959	2571
535	2964	2566
536	2969	2560
537	2974	2554
538	2979	2548
539	2985	2542
540	2990	2537
541	2995	2530
542	3000	2525
543	3005	2519
544	3010	2513
545	3015	2507
546	3020	2501
547	3025	2495
548	3032	2490
549	3037	2484
550	3042	2479
551	3047	2473
552	3051	2466
553	3057	2461
554	3062	2455
555	3067	2449
556	3072	2443
557	3077	2438
558	3083	2432
559	3088	2426
560	3092	2420
561	3098	2414
562	3102	2408
563	3107	2402
564	3111	2395
565	3116	2389
566	3120	2383
567	3124	2376
568	3129	2370
569	3134	2364
570	3139	2358
571	3144	2352
572	3149	2346
573	3154	2341
574	3159	2335
575	3164	2329
576	3169	2323
577	3174	2317
578	3179	2311
579	3183	2305
580	3188	2299
581	3193	2293
582	3198	2287
583	3203	2281
584	3207	2275
585	3213	2270
586	3218	2264
587	3223	2258
588	3228	2252
589	3233	2247
590	3238	2240
591	3243	2235
592	3249	2230
593	3254	2224
594	3258	2217
595	3262	2211
596	3268	2206
597	3273	2200
598	3277	2194
599	3282	2188
600	3291	2185
601	3297	2179
602	3301	2173
603	3306	2167
604	3310	2161
605	3316	2156
606	3321	2150
607	3326	2144
608	3330	2138
609	3335	2132
610	3340	2126
611	3346	2121
612	3351	2116
613	3357	2110
614	3362	2105
615	3367	2099
616	3372	2093
617	3377	2087
618	3383	2082
619	3388	2076
620	3393	2070
621	3397	2064
622	3402	2059
623	3407	2053
624	3412	2047
625	3417	2041
626	3422	2035
627	3427	2030
628	3432	2024
629	3436	2018
630	3442	2012
631	3447	2007
632	3452	2001
633	3456	1995
634	3462	1990
635	3467	1984
636	3473	1979
637	3478	1973
638	3484	1968
639	3489	1962
640	3494	1957
641	3499	1951
642	3503	1945
643	3508	1939
644	3512	1933
645	3518	1927
646	3523	1922
647	3528	1916
648	3533	1911
649	3538	1905
650	3542	1899
651	3547	1893
652	3552	1887
653	3557	1881
654	3562	1876
655	3567	1870
656	3572	1864
657	3577	1859
658	3582	1853
659	3587	1848
660	3592	1842
661	3597	1837
662	3602	1831
663	3607	1825
664	3612	1819
665	3617	1814
666	3622	1808
667	3628	1803
668	3632	1797
669	3636	1791
670	3641	1785
671	3646	1779
672	3651	1774
673	3656	1768
674	3661	1762
675	3665	1756
676	3670	1751
677	3676	1745
678	3680	1740
679	3686	1734
680	3690	1728
681	3696	1723
682	3701	1717
683	3706	1712
684	3711	1706
685	3716	1700
686	3721	1695
687	3726	1689
688	3731	1684
689	3736	1678
690	3741	1672
691	3746	1667
692	3750	1661
693	3755	1655
694	3760	1650
695	3765	1644
696	3770	1639
697	3775	1633
698	3780	1627
699	3785	1622
700	3790	1616
701	3795	1611
702	3800	1605
703	3805	1599
704	3809	1594
705	3814	1588
706	3819	1582
707	3824	1577
708	3829	1571
709	3835	1566
710	3839	1560
711	3844	1555
712	3849	1549
713	3853	1543
714	3857	1537
715	3862	1532
716	3867	1526
717	3872	1521
718	3878	1515
719	3883	1510
720	3887	1504
721	3892	1498
722	3898	1493
723	3903	1487
724	3908	1482
725	3913	1476
726	3918	1471
727	3922	1465
728	3928	1460
729	3933	1454
730	3938	1449
731	3944	1444
732	3949	1438
733	3954	1432
734	3959	1427
735	3964	1421
736	3969	1416
737	3974	1411
738	3979	1405
739	3985	1400
740	3990	1394
741	3995	1389
742	4000	1383
743	4004	1377
