iter	Logloss
0	0.6895893927
1	0.686234895
2	0.6829961898
3	0.6797997055
4	0.6771505667
5	0.6743468291
6	0.671094899
7	0.6685511976
8	0.6657948525
9	0.6631557851
10	0.6609313221
11	0.6589023608
12	0.6567420319
13	0.6546091124
14	0.6523611934
15	0.6506380711
16	0.6485521489
17	0.6467352847
18	0.6437607262
19	0.6418771089
20	0.6402499319
21	0.6381111205
22	0.6365429129
23	0.6352248156
24	0.633523858
25	0.6320767789
26	0.6302385892
27	0.628680622
28	0.6275378699
29	0.6263334921
30	0.6248316625
31	0.6237621293
32	0.622408951
33	0.6209863478
34	0.6200604505
35	0.6192480476
36	0.6182390995
37	0.6172275368
38	0.61643889
39	0.6146280816
40	0.6133726737
41	0.611997724
42	0.6108619566
43	0.6095381862
44	0.6087103863
45	0.6079434016
46	0.6072605273
47	0.6061495624
48	0.6052104545
49	0.6043897993
50	0.6032212782
51	0.6019598039
52	0.6013561294
53	0.5996459602
54	0.5987127736
55	0.5975593763
56	0.5967125623
57	0.5959230303
58	0.5950074223
59	0.5942279711
60	0.593239597
61	0.5924585014
62	0.5917316701
63	0.5905298276
64	0.5899015598
65	0.5891298227
66	0.5884250866
67	0.5878173592
68	0.5873004237
69	0.5864182759
70	0.5859113996
71	0.5848500921
72	0.5841870992
73	0.5834874736
74	0.5826741572
75	0.5819573539
76	0.5812784165
77	0.5808628932
78	0.5802987186
79	0.5797059867
80	0.579118089
81	0.5785604756
82	0.577681309
83	0.5772543125
84	0.5768443745
85	0.576340723
86	0.5753517795
87	0.5744565803
88	0.5738384622
89	0.5733253652
90	0.5727441206
91	0.5719032705
92	0.5715092406
93	0.5710103592
94	0.5702386114
95	0.5697590976
96	0.569230002
97	0.5682133086
98	0.5677651617
99	0.5673388938
100	0.5666847128
101	0.5659946987
102	0.565442406
103	0.5650308917
104	0.5646770858
105	0.5643332426
106	0.5633812531
107	0.5626104868
108	0.5613880328
109	0.5609727215
110	0.5606680661
111	0.5602169677
112	0.5598785008
113	0.5592009988
114	0.5587445107
115	0.5583336099
116	0.5577885873
117	0.5570938538
118	0.5567821929
119	0.5561120737
120	0.5556838743
121	0.555366565
122	0.5549806292
123	0.5545916209
124	0.5543075311
125	0.5538855509
126	0.5536177023
127	0.5531236407
128	0.5524945306
129	0.5521308564
130	0.5517760912
131	0.5513653102
132	0.5508274943
133	0.5502618975
134	0.5495809331
135	0.5488341927
136	0.5481862478
137	0.54774235
138	0.5474265676
139	0.5471489538
140	0.5468855879
141	0.5465414264
142	0.546239427
143	0.5457573042
144	0.5454364439
145	0.545102827
146	0.5448179379
147	0.5446115443
148	0.5441421494
149	0.5437923921
150	0.5434697722
151	0.5430213612
152	0.5426125268
153	0.5421386008
154	0.541898398
155	0.5416741406
156	0.5413209793
157	0.5410817378
158	0.5405148012
159	0.5402354408
160	0.5399757564
161	0.539324449
162	0.5386888372
163	0.5384216248
164	0.5381792981
165	0.5377353729
166	0.5375212081
167	0.537317145
168	0.5370055097
169	0.5367022359
170	0.5363560145
171	0.5361105614
172	0.5359504814
173	0.5356748087
174	0.535534912
175	0.5350043702
176	0.5346773339
177	0.5344924601
178	0.53429358
179	0.5341317683
180	0.5338527547
181	0.5335931692
182	0.5333960712
183	0.5332442683
184	0.532845416
185	0.5325892454
186	0.5323312182
187	0.5317848142
188	0.531536177
189	0.5310789447
190	0.5308637322
191	0.5302734253
192	0.5300482269
193	0.5298014059
194	0.5293489191
195	0.5291370258
196	0.5287553595
197	0.5285556276
198	0.5283594089
199	0.5280247719
200	0.5277681201
201	0.5276010079
202	0.5273748853
203	0.5269543069
204	0.5266191457
205	0.5263652621
206	0.5261816936
207	0.5259265297
208	0.5257019705
209	0.5253380679
210	0.5249543707
211	0.5247831258
212	0.5246186038
213	0.5243317914
214	0.5240787642
215	0.5236584987
216	0.5233955965
217	0.5231356024
218	0.5228662766
219	0.5226558946
220	0.5224776524
221	0.5222053793
222	0.522049653
223	0.5218566622
224	0.5214946127
225	0.521327084
226	0.5211325823
227	0.5209999605
228	0.5206802698
229	0.5203881745
230	0.5202386835
231	0.5201186721
232	0.5198436896
233	0.5195676323
234	0.5194277125
235	0.5191319075
236	0.5188891202
237	0.5186686947
238	0.5184967914
239	0.5182717913
240	0.5180341228
241	0.5178656838
242	0.5177223717
243	0.5175959315
244	0.5172640234
245	0.5170142868
246	0.5167972582
247	0.5164870857
248	0.5163055436
249	0.5161351067
250	0.5159570564
251	0.5157219915
252	0.5155669351
253	0.5154603181
254	0.515205183
255	0.5150142898
256	0.5148300678
257	0.5146576833
258	0.5145407825
259	0.5143269248
260	0.5141930636
261	0.5137764873
262	0.513597162
263	0.5133005348
264	0.5130576714
265	0.5129085689
266	0.5125006291
267	0.5123334693
268	0.5119896304
269	0.511747879
270	0.5116588994
271	0.5115288838
272	0.5114236222
273	0.5113014166
274	0.5109922035
275	0.5108292299
276	0.5104517201
277	0.5101847892
278	0.5098552575
279	0.509566143
280	0.5093079848
281	0.5091458263
282	0.5089251974
283	0.508667014
284	0.5085128219
285	0.5082315528
286	0.507999188
287	0.5078862168
288	0.5076303795
289	0.5075418233
290	0.5073910158
291	0.5072077772
292	0.5069308949
293	0.5066525277
294	0.5065198573
295	0.5064027867
296	0.5061756678
297	0.505888105
298	0.5057098508
299	0.5054132865
300	0.505198838
301	0.5049234506
302	0.5047852155
303	0.504610244
304	0.5044247846
305	0.5042463797
306	0.5040479095
307	0.5038416535
308	0.5036271739
309	0.5034322565
310	0.5031792565
311	0.5029654562
312	0.5028111029
313	0.5026281417
314	0.5024296724
315	0.5021966772
316	0.5019884438
317	0.5018149956
318	0.5016284145
319	0.5014278581
320	0.5013070671
321	0.5010935445
322	0.500801241
323	0.5006841717
324	0.5005368041
325	0.5003112417
326	0.5000557223
327	0.4997768863
328	0.4996215789
329	0.4993939989
330	0.4992806968
331	0.4990260021
332	0.4988195946
333	0.4985758641
334	0.4983407826
335	0.4980799482
336	0.4979339125
337	0.4977106614
338	0.4975586547
339	0.4973164086
340	0.4971912691
341	0.4969443945
342	0.4967313368
343	0.4964627763
344	0.4961905406
345	0.4959636253
346	0.4957942208
347	0.4956803836
348	0.4955575629
349	0.4953513961
350	0.4952000315
351	0.495050838
352	0.4948614669
353	0.4946997041
354	0.4945206791
355	0.494364272
356	0.4941908471
357	0.4939708884
358	0.4938020036
359	0.4936288252
360	0.4934404278
361	0.4932586146
362	0.4930505305
363	0.4927854002
364	0.4926195565
365	0.4924419386
366	0.4923104365
367	0.4921374509
368	0.4919188288
369	0.4916681366
370	0.4914698022
371	0.4913139765
372	0.4911648632
373	0.4908788253
374	0.4907053764
375	0.4905627536
376	0.4903885646
377	0.4901855126
378	0.4900277591
379	0.489898682
380	0.4896063021
381	0.4894345307
382	0.4892487021
383	0.4890214782
384	0.4888216305
385	0.4886376639
386	0.4885101479
387	0.4882419033
388	0.4881005276
389	0.4879041459
