iter	Passed	Remaining
0	16	1634
1	23	1172
2	31	1003
3	38	917
4	45	873
5	54	853
6	61	820
7	70	814
8	79	801
9	87	783
10	93	760
11	101	742
12	108	727
13	116	713
14	122	694
15	129	678
16	139	680
17	144	657
18	149	638
19	154	617
20	158	598
21	163	581
22	168	564
23	172	547
24	177	531
25	182	519
26	186	504
27	191	492
28	195	479
29	201	469
30	205	457
31	209	445
32	215	436
33	219	426
34	223	415
35	228	406
36	233	397
37	237	387
38	242	378
39	247	370
40	252	363
41	257	354
42	261	346
43	265	338
44	270	330
45	274	322
46	279	315
47	283	307
48	288	299
49	292	292
50	297	285
51	302	279
52	307	272
53	311	265
54	316	259
55	322	253
56	327	246
57	331	240
58	336	233
59	340	227
60	345	221
61	350	214
62	354	208
63	359	202
64	363	195
65	368	189
66	372	183
67	377	177
68	381	171
69	386	165
70	390	159
71	394	153
72	399	147
73	403	141
74	411	137
75	416	131
76	421	126
77	427	120
78	432	114
79	437	109
80	442	103
81	447	98
82	452	92
83	457	87
84	462	81
85	467	76
86	472	70
87	477	65
88	482	59
89	486	54
90	491	48
91	496	43
92	501	37
93	505	32
94	510	26
95	515	21
96	519	16
97	523	10
98	528	5
99	533	0
